Название компании,Ссылка
ИТ-Холдинг Т1,/companies/holdingt1
Лаборатория Касперского,/companies/kaspersky
Сбер,/companies/sber
Яндекс,/companies/yandex
Bell Integrator,/companies/bellintegrator
ЛАНИТ,/companies/lanit
Совкомбанк Технологии,/companies/scbt
МТС,/companies/mts
ИТ-компания «Лоция»,/companies/loodsen
Selecty,/companies/selecty
DigitalHR,/companies/digitalhr
Банк России,/companies/cbr
Wildberries & Russ,/companies/wb
Marfatech,/companies/marfa-tech
deeplay,/companies/deeplay
2GIS,/companies/2gis
Т-Банк,/companies/tbank
Магнит,/companies/magnit
Группа Астра,/companies/astralinux
БФТ - Холдинг,/companies/bft-com
МТ-Интеграция,/companies/mt-integration
Bogoda Digital Pro,/companies/bogoda
Eltex,/companies/eltex
АО «ГНИВЦ»,/companies/gnivc
РЕД СОФТ,/companies/red-soft
Альфа-Банк,/companies/alfabank
ОТП Банк,/companies/otpbank
YADRO,/companies/yadro
МегаФон,/companies/megafon
IT_One,/companies/it-one
VK,/companies/vk
RedLab,/companies/redlab
Группа компаний «Метран»,/companies/metran
Okko,/companies/okko
IBS,/companies/ibs
GlobalCareer,/companies/globalcareer-ru
Информзащита,/companies/infosec
ГЕО ТЕХНО СОТ,/companies/gt-sot
АМИКОН,/companies/amicon
Cloud.ru,/companies/cloudru
DatsTeam,/companies/datsteam-url
АЭРОДИСК,/companies/aerodisk
Action tech,/companies/action-tech
IT-hunter,/companies/ithunter
r_keeper,/companies/rkeeper
Nomadic Soft,/companies/nomadic-soft
Right Line,/companies/rightline
Webit,/companies/webit
Koronatech,/companies/koronatech
PIX Robotics,/companies/pixrobotics
Онлайн-кинотеатр Иви,/companies/ivi
ITGLOBAL.COM,/companies/itglobalcom
Data World,/companies/data-world
ITK academy,/companies/itk-academy
М Тех,/companies/mtech
Алабуга,/companies/alabuga
ARTIX,/companies/artix
СберКорус,/companies/esphere
The Find,/companies/the-find
OfferCase,/companies/offercase
ГК «ЭкоНива»,/companies/ekoniva
Fix Price,/companies/fixprice
Гринатом,/companies/greenatom
РТК-ЦОД,/companies/rt-dc
Инфомаксимум,/companies/infomaximum
MIND Software,/companies/mindsw
ЕВРАЗ,/companies/evraz
Монетка,/companies/monetka
Rambler&Co,/companies/ramblerco
Goodt,/companies/goodt
Динамика,/companies/dynamika
ИТ Контакт,/companies/itcontact
Национальная Лотерея,/companies/nloto
AiDevBot,/companies/aidevbot
НИЦ Аэроскрипт,/companies/aeroscript
BSS,/companies/bssys
Kokoc Group,/companies/kokocgroup
РОССИ,/companies/rossi
СберЗдоровье,/companies/sberhealth
К2 Кибербезопасность,/companies/cybersecurity-k2
Aston,/companies/aston
НТЦ ПРОТЕЙ,/companies/protei
АстраЗенека,/companies/astrazeneca
Emilius Agency,/companies/emilius-agency
Лига Цифровой Экономики,/companies/digitalleague
DBI,/companies/dbi
WaveAccess,/companies/company-waveaccess
Контур,/companies/skbkontur
Wisebits,/companies/wisebits
Солар,/companies/solarsecurity
Мир Plat.Form (НСПК),/companies/nspk
НПК Морсвязьавтоматика,/companies/unicont
РТК-Сервис,/companies/rtk-service
SmartCore,/companies/smartcoredesign
Аэродинамика,/companies/dinamika-aero
Телеком биржа,/companies/cirex-ru
ЭЛСИ Энергопроект,/companies/elsi-pro
Эл-Айти,/companies/l-it
Силовые машины,/companies/power-m
АНО ЦИСМ,/companies/cism-ms
TravelLine,/companies/travelline
Витрина ТВ,/companies/vitrina-tv
SENSE,/companies/sense-group
RuDesktop,/companies/rudesktop
SimbirSoft,/companies/simbirsoft
SM Lab,/companies/smlab
КОРУС Консалтинг,/companies/korusconsulting
ЗАРЯД,/companies/zaryadteam
IRLIX,/companies/irlix
FunFlow,/companies/funflow
X5 Digital,/companies/x5digital
АТОЛ,/companies/atol
Ридан,/companies/ridan
Naumen,/companies/naumen
Форсайт,/companies/fsight
Onpoint,/companies/onpoint-ru
ПСБ цифровая лаборатория,/companies/psb
Innovative People,/companies/inpglobal
Pickles team,/companies/pickles
Велесстрой-СМУ,/companies/velesstroy-smu
Orion Solutions (Орион Солюшенс),/companies/orionsolutions
Anykey,/companies/anykey
BorneoLandAI,/companies/borneolandai
Unity,/companies/unity
GRI,/companies/itgri
